Laa,ndaa,Haau,mmw,gravy,aroma,locus_tag
379,20,4.1572,129.91,-0.2414,0.1108,b0039
503,20,4.0901,130.22,+0.7191,0.1551,b0040
255,19,3.9094,123.87,-0.0267,0.0392,b0041
312,20,4.0622,124.95,-0.0913,0.0577,b0042
427,20,4.0390,124.70,+0.0515,0.0539,b0043
94,19,4.0376,127.91,-0.2521,0.0957,b0044
442,20,4.0320,127.78,+0.6609,0.1176,b0045
175,20,4.1314,132.42,-0.2400,0.1200,b0046
619,20,3.9805,127.30,+0.4543,0.0727,b0047
158,20,4.1828,130.99,-0.3082,0.0949,b0048
279,20,4.1284,129.65,-0.2534,0.1004,b0049
124,19,3.9926,128.64,-0.0605,0.0887,b0050
272,19,4.1102,129.30,-0.1085,0.0772,b0051
328,20,3.9908,124.61,+0.1869,0.0457,b0052
427,19,4.0610,128.40,-0.3878,0.0468,b0053
783,20,4.1626,132.35,-0.6605,0.1277,b0054
270,20,4.1049,130.72,-0.3493,0.0963,b0055
,,,,,,b4659
218,20,4.1371,131.37,-0.4385,0.0734,b0058
967,20,4.0968,131.37,-0.3577,0.0703,b0059
782,20,4.1708,132.98,-0.4536,0.1074,b0060
230,20,4.1606,128.32,-0.2552,0.0826,b0061
499,20,4.1919,130.09,-0.2248,0.0902,b0062
565,20,4.1136,125.87,-0.0195,0.0779,b0063
291,20,4.1664,132.22,-0.3230,0.1134,b0064
253,20,3.9644,129.06,+0.7794,0.1186,b0065
231,20,3.9953,125.59,+0.1091,0.0346,b0066
535,20,3.9443,129.01,+0.7007,0.1028,b0067
326,20,4.0493,128.49,-0.1819,0.1135,b0068
550,20,4.1557,134.06,-0.3284,0.1000,b0069
42,19,4.0167,141.56,-0.6167,0.1667,b4662
391,20,3.9743,126.87,+0.8895,0.1202,b0070
200,20,4.1142,129.71,-0.1855,0.1200,b0071
465,20,4.1144,124.97,-0.1781,0.0581,b0072
362,20,4.0939,126.76,-0.1191,0.0718,b0073
522,20,4.0939,127.49,-0.1916,0.0594,b0074
27,12,3.3521,129.00,+0.3630,0.0370,b0075
313,20,4.1455,131.58,-0.2256,0.0863,b0076
573,20,4.1474,127.67,-0.0543,0.0698,b0077
162,18,3.9120,128.06,-0.0667,0.0370,b0078
333,20,4.0715,131.68,-0.3532,0.0781,b0080
151,20,4.0649,132.17,-0.2609,0.0596,b0081
312,19,4.0225,129.32,-0.4042,0.0545,b0082
120,19,3.9862,130.33,-0.0425,0.0250,b0083
587,20,4.0827,126.58,-0.1538,0.0716,b0084
494,20,4.0657,125.70,-0.0547,0.0567,b0085
451,20,3.9948,122.89,+0.1612,0.0466,b0086
359,20,4.0056,128.67,+0.8212,0.1365,b0087
437,20,4.0533,125.16,+0.0005,0.0572,b0088
413,20,3.9809,129.00,+0.6891,0.1138,b0089
354,20,4.0040,124.41,+0.0345,0.0621,b0090
490,20,4.0722,127.15,-0.1649,0.0612,b0091
305,20,4.0057,125.20,+0.0708,0.0689,b0092
275,19,4.0735,131.78,-0.5127,0.0691,b0093
419,20,4.0567,125.84,-0.0291,0.0430,b0094
382,18,3.9374,123.18,-0.0097,0.0419,b0095
304,20,4.1299,129.22,-0.0563,0.0921,b0096
169,19,4.0128,128.84,-0.2941,0.0888,b0097
900,20,4.1075,131.21,-0.4700,0.0633,b0098
128,19,4.0226,133.47,-0.4937,0.1016,b0099
64,17,3.9277,129.84,-0.6547,0.0781,b0101
246,20,4.0378,132.41,-0.1638,0.0732,b0102
205,19,3.9795,127.64,-0.1254,0.0488,b0103
346,20,4.1052,125.63,-0.0734,0.0723,b0104
399,20,4.0273,129.04,+0.3043,0.0727,b0106
460,20,4.0421,127.72,-0.0248,0.0391,b0107
145,20,4.0974,124.72,+0.0834,0.0690,b0108
296,20,4.0174,128.19,-0.2409,0.0507,b0109
182,20,4.1287,130.03,-0.3209,0.0989,b0110
283,20,4.0056,130.99,+0.4689,0.1237,b0111
456,20,4.0221,126.66,+0.8099,0.1228,b0112
253,20,3.9112,133.73,-0.5605,0.0553,b0113
886,20,4.1663,130.34,-0.4395,0.0982,b0114
629,20,3.8896,122.86,+0.0014,0.0397,b0115
473,20,4.0162,124.86,-0.0150,0.0550,b0116
616,20,4.0769,130.37,-0.8143,0.0666,b0117
864,20,4.0944,126.06,-0.1198,0.0671,b0118
119,19,3.9636,133.92,-0.4908,0.1092,b0119
263,20,4.1678,132.98,-0.3213,0.0913,b0120
287,20,4.1877,130.11,-0.1774,0.1150,b0121
114,19,4.0269,129.46,-0.0149,0.1228,b0122
515,20,4.1433,127.54,-0.1685,0.0699,b0123
795,20,4.1394,126.94,-0.0735,0.1019,b0124
177,19,4.0061,130.82,-0.0797,0.0678,b0125
219,20,4.1562,131.93,-0.2411,0.0731,b0126
307,20,4.0466,130.38,-0.2443,0.0684,b0127
255,20,3.9564,129.26,+1.0055,0.1569,b0128
145,20,4.1708,131.05,-0.1662,0.0690,b0129
408,19,4.1312,131.17,-0.2836,0.1078,b0130
125,20,4.0841,127.49,-0.0792,0.0720,b0131
299,20,4.1298,133.26,-0.2766,0.0803,b0132
282,20,4.0548,129.53,-0.1152,0.0532,b0133
263,20,4.0500,124.81,+0.1308,0.0722,b0134
411,20,4.0596,126.90,-0.2404,0.1168,b0135
197,20,4.0667,124.42,+0.1086,0.0761,b0136
200,19,3.8815,122.50,+0.1430,0.0800,b0137
188,20,4.0063,125.24,-0.2463,0.0638,b0138
864,20,4.0976,128.37,-0.4170,0.1065,b0139
245,20,4.1020,127.83,-0.2506,0.1020,b0140
193,19,3.9127,121.48,-0.0917,0.0622,b0141
158,19,4.0787,131.49,-0.2259,0.0823,b0142
464,20,4.1058,133.79,-0.5358,0.0884,b0143
307,20,4.1087,131.10,-0.2788,0.0977,b0144
150,20,4.0301,133.87,-0.8840,0.0533,b0145
233,20,4.1317,129.94,-0.3498,0.0858,b0146
175,20,4.0198,131.07,-0.2469,0.1029,b0147
808,20,3.9724,128.16,-0.1740,0.0421,b0148
843,20,4.1063,129.69,-0.4219,0.0807,b0149
746,20,4.1049,127.98,-0.4845,0.1166,b0150
264,20,4.0481,126.87,+0.0080,0.0606,b0151
295,20,4.0829,129.37,+0.0607,0.0949,b0152
659,20,3.8290,124.65,+0.9549,0.0774,b0153
425,20,4.0671,124.41,+0.1976,0.0847,b0154
472,20,3.9493,124.37,+0.6328,0.0890,b0155
113,18,3.9958,123.78,-0.1062,0.0885,b0156
206,20,3.8927,124.71,+0.9053,0.0728,b0157
265,19,3.9970,128.27,-0.1275,0.0792,b0158
231,19,3.9893,122.80,+0.2987,0.0519,b0159
504,20,4.1381,135.54,-0.4558,0.1071,b0160
473,19,3.9557,122.04,-0.0715,0.0402,b0161
384,20,4.0313,131.39,-0.2396,0.0521,b0162
127,18,3.9310,135.71,-0.8323,0.0787,b0163
269,20,4.1206,128.48,+0.0346,0.1004,b0164
273,20,4.0726,126.96,-0.0612,0.0733,b0166
889,20,4.1078,133.02,-0.2970,0.0787,b0167
263,20,4.1196,128.97,-0.1700,0.0570,b0168
240,20,4.0888,128.82,-0.2767,0.0708,b0169
282,19,3.9027,125.37,-0.1252,0.0461,b0170
240,20,4.0152,125.60,+0.1254,0.0542,b0171
184,18,3.9015,129.37,-0.5473,0.0272,b0172
397,20,4.1015,126.93,-0.0252,0.0504,b0173
252,20,4.1208,130.30,-0.4048,0.0833,b0174
284,20,3.9623,128.24,+0.9000,0.1303,b0175
449,20,4.0389,126.97,+0.2610,0.0846,b0176
809,20,4.1135,129.76,-0.4859,0.1211,b0177
160,17,3.8142,127.63,-0.4875,0.0375,b0178
340,20,4.0557,123.57,+0.1194,0.0412,b0179
150,19,4.0112,130.57,+0.0413,0.1000,b0180
261,19,4.0401,125.03,-0.0050,0.0613,b0181
381,20,4.0594,128.86,-0.0123,0.0656,b0182
197,20,3.9970,126.53,-0.0152,0.0558,b0183
1159,20,4.1152,129.97,-0.2430,0.0837,b0184
318,20,4.0341,128.37,-0.2393,0.0629,b0185
712,20,4.2054,130.99,-0.1921,0.1011,b0186
128,19,4.1066,131.98,-0.2148,0.1250,b0187
431,20,4.0098,129.51,-0.1390,0.0719,b0188
83,19,4.0045,130.43,-0.4373,0.0482,b0189
65,15,3.6159,126.71,-0.0031,0.0769,b4406
180,20,4.0436,133.17,-0.3694,0.0944,b0190
139,18,3.8607,129.34,-0.5281,0.0288,b0191
235,20,4.1041,127.35,-0.3204,0.0894,b0192
273,20,4.1025,127.04,-0.0205,0.0989,b0193
571,20,4.1041,129.30,-0.2466,0.0753,b0194
234,20,4.0918,130.04,-0.1573,0.1068,b0195
133,19,3.9872,123.38,-0.2053,0.0226,b0196
270,19,3.9146,126.47,-0.1452,0.0741,b0197
216,18,3.8278,124.99,+0.9903,0.0926,b0198
342,20,4.0840,128.07,-0.0778,0.0468,b0199
190,20,4.1630,129.30,-0.2626,0.0789,b0200
266,20,4.0461,128.12,-0.1214,0.0639,b0207
303,20,4.0417,128.99,-0.1290,0.0660,b0208
265,20,4.0956,130.63,-0.1615,0.0906,b0209
206,19,4.0767,128.90,-0.0641,0.0825,b0210
451,20,4.0726,127.26,-0.4122,0.0599,b0211
250,20,4.1749,131.15,-0.2352,0.0960,b0212
239,20,4.1288,131.38,-0.1343,0.0753,b0213
154,20,4.1598,131.31,-0.6474,0.0844,b0214
242,20,4.1046,129.38,-0.1707,0.0785,b0215
260,20,4.1170,131.31,-0.5800,0.0769,b0217
158,20,3.9780,131.74,+0.7462,0.1582,b4586
,,,,,,b0218
,,,,,,b4503
255,20,4.1425,130.86,-0.2216,0.1020,b0219
156,20,4.0739,125.21,-0.1154,0.0705,b0220
813,20,4.1177,127.58,+0.0037,0.0750,b0221
191,19,4.0321,126.21,-0.0723,0.0628,b0222
254,20,4.2110,130.17,-0.3213,0.1102,b0223
245,20,4.1460,131.78,-0.3820,0.1306,b0224
91,19,4.0512,135.57,-0.6022,0.1099,b0225
85,17,3.8183,126.91,-0.1659,0.0353,b0226
248,20,4.1297,133.48,-0.4685,0.1048,b0227
164,20,4.2112,139.31,-0.6646,0.1585,b0228
,,,,,,b0229
,,,,,,b0230
350,20,4.1156,130.49,-0.2214,0.0629,b0231
96,18,3.9413,133.48,-0.6802,0.0833,b0232
131,20,4.0981,135.10,-0.3985,0.1145,b0233
149,20,4.1725,134.83,-0.3651,0.1342,b0234
,,,,,,b0235
,,,,,,b0236
484,20,4.1047,127.04,-0.1498,0.0599,b0237
151,20,4.0821,129.41,-0.0609,0.0795,b0238
413,20,4.1956,131.48,-0.3358,0.1017,b0239
132,20,4.0520,135.48,-0.5295,0.1288,b0240
350,19,4.0007,128.79,-0.5809,0.1314,b0241
366,20,3.9884,124.32,+0.0016,0.0383,b0242
416,20,4.0129,124.94,-0.0091,0.0337,b0243
,,,,,,b4626
112,20,4.0795,131.90,-0.1536,0.0714,b0245
104,19,4.0836,131.38,-0.3365,0.0769,b0246
72,20,4.1414,135.12,-0.5903,0.1111,b4504
157,19,3.9675,132.34,-0.2822,0.0573,b0247
151,19,4.1526,132.39,-0.3106,0.1325,b0248
78,18,3.9330,131.67,-0.7115,0.0897,b0249
154,20,4.1016,127.60,-0.2942,0.1169,b0250
146,20,4.0793,132.16,-0.5288,0.0890,b0251
,,,,,,b4627
,,,,,,b4628
272,20,4.0873,131.62,-0.5364,0.0699,b0252
286,20,4.0990,129.00,-0.0035,0.0769,b0253
296,20,4.0450,131.15,-0.1510,0.0845,b0254
,,,,,,b4587
382,20,4.0763,133.51,-0.7699,0.0628,b0256
,,,,,,b0258
337,20,4.1707,134.27,-0.5409,0.0890,b0259
466,20,4.0172,126.12,+0.8082,0.1309,b0260
309,20,3.9716,125.70,-0.0362,0.0744,b0261
347,20,4.1356,130.15,-0.1937,0.0836,b0262
,,,,,,b0263
166,20,4.1571,136.14,-0.6404,0.1145,b0264
90,19,4.0408,126.38,-0.3522,0.0556,b0265
,,,,,,b4505
,,,,,,b0266
383,20,4.1661,131.90,-0.6624,0.0940,b0267
301,20,4.0634,125.59,+0.1033,0.0698,b0268
654,20,4.0733,123.90,-0.0266,0.0520,b0269
459,20,4.0518,128.00,+0.6782,0.1307,b0270
535,20,4.1828,131.43,-0.4697,0.1383,b0271
251,20,3.9941,128.33,-0.1402,0.0598,b0272
333,20,4.1080,128.16,-0.2147,0.0781,b0273
,,,,,,b4688
166,20,4.1571,136.14,-0.6404,0.1145,b0274
90,19,4.0408,126.38,-0.3522,0.0556,b0275
,,,,,,b0276
207,20,4.1616,135.51,-0.5744,0.1159,b0277
231,20,4.1088,135.44,-0.3108,0.0952,b0278
283,20,4.1304,132.96,-0.3141,0.0848,b0279
145,20,4.0052,126.05,-0.2862,0.0621,b0280
465,20,4.1169,131.83,-0.4110,0.0860,b0281
,,,,,,b4694
,,,,,,b4695
317,20,4.0644,127.81,-0.0972,0.0757,b0283
731,20,4.0842,124.63,-0.2168,0.0588,b0284
317,20,3.9864,124.35,-0.0158,0.0536,b0285
228,19,4.0660,124.13,-0.1351,0.0263,b0286
203,20,4.0882,130.42,+0.3291,0.1379,b0287
108,20,4.0638,125.88,-0.2713,0.0833,b0288
235,20,4.1179,130.69,-0.4230,0.0979,b0289
546,20,4.1262,127.63,-0.1918,0.1209,b0290
840,20,4.0474,126.44,-0.3535,0.0857,b0291
221,20,4.0641,128.28,-0.3109,0.0814,b0292
194,18,3.8041,120.91,+0.0722,0.0773,b0293
195,20,4.0778,136.60,-0.5344,0.1179,b0294
74,17,3.9016,134.47,-0.9716,0.0676,b0295
45,18,3.7822,136.18,-1.1067,0.0444,b4506
86,17,3.9201,131.63,-0.5488,0.1279,b0296
32,12,3.4803,138.31,+0.5812,0.1875,b4671
,,,,,,b4630
,,,,,,b0297
98,19,3.7581,134.28,-1.0000,0.0612,b0298
287,20,4.1949,134.36,-0.5157,0.1185,b0299
,,,,,,b0300
,,,,,,b4631
196,19,4.0523,128.98,+0.2235,0.1122,b0301
77,18,3.7747,126.10,+0.1701,0.0779,b0303
440,20,4.1115,127.32,-0.0689,0.0545,b0304
283,20,4.0855,128.70,+0.0869,0.0742,b0305
238,20,4.1087,126.65,+0.0290,0.0588,b0306
474,20,4.1931,129.62,-0.3179,0.0717,b0307
230,20,4.0150,126.99,-0.1443,0.0478,b0308
221,20,4.1456,133.13,+0.0005,0.0995,b0310
555,20,4.1879,129.24,-0.4719,0.0901,b0311
489,20,4.1073,125.91,-0.0832,0.0777,b0312
194,19,3.9993,129.69,-0.2912,0.0567,b0313
676,20,4.1041,129.99,+0.3349,0.1376,b0314
361,20,4.1755,130.41,-0.0504,0.0942,b0315
309,20,4.1287,130.37,-0.1084,0.0874,b0316
164,20,3.8187,122.66,+0.7805,0.1585,b0317
200,19,3.9648,125.70,+0.0945,0.0400,b0318
286,20,4.1488,130.31,-0.2077,0.0874,b0319
514,19,4.0594,125.86,-0.0702,0.0447,b0320
471,20,4.1218,124.65,+0.1439,0.0658,b0321
315,20,4.0529,125.26,-0.0810,0.0444,b0323
459,20,4.1314,127.82,-0.2495,0.0588,b0324
348,20,4.1427,126.72,-0.1894,0.0575,b0325
270,20,4.1542,135.21,-0.2637,0.1111,b0326
80,19,3.9281,127.28,-0.1338,0.0625,b0327
222,19,3.9527,129.10,+0.6869,0.1306,b0328
90,16,3.7500,126.30,-0.3100,0.0444,b0329
527,20,4.0447,129.02,-0.1385,0.0721,b0330
295,19,4.0320,126.44,-0.0217,0.0678,b0331
388,20,4.1546,128.72,-0.2946,0.0722,b0333
482,20,4.1572,129.64,-0.1402,0.0892,b0334
627,20,4.1559,128.38,-0.1234,0.0877,b0335
418,20,3.8631,122.08,+0.9404,0.1029,b0336
426,20,4.1498,129.38,-0.2270,0.0751,b0337
298,20,3.9870,128.12,+0.0272,0.0570,b0338
218,20,4.0816,126.34,-0.0014,0.0642,b0339
155,19,3.9295,127.04,+0.0800,0.0645,b0340
383,20,3.8707,125.62,+0.8538,0.0992,b0341
202,19,4.0865,130.14,-0.2322,0.0941,b0342
416,20,3.9789,129.44,+0.9103,0.1827,b0343
1023,20,4.2022,131.73,-0.4347,0.1056,b0344
359,20,3.9991,125.09,+0.0265,0.0390,b0345
276,20,4.0073,130.96,-0.3199,0.0543,b0346
553,20,4.1494,130.20,-0.1982,0.0778,b0347
313,20,4.0889,126.79,+0.0173,0.0895,b0348
292,20,4.1368,129.10,-0.2096,0.0822,b0349
268,20,4.0665,125.26,-0.0407,0.0522,b0350
315,20,4.0195,123.71,+0.0930,0.0413,b0351
336,20,4.0517,126.11,-0.1193,0.0565,b0352
402,19,3.7540,121.00,+0.9614,0.0871,b0353
178,19,3.8773,129.10,-0.4860,0.0449,b0354
276,20,4.1965,131.33,-0.3710,0.1196,b0355
368,20,4.1039,124.56,-0.0177,0.0652,b0356
90,19,3.9365,131.00,-0.5289,0.0333,b0357
256,19,4.0204,130.87,-0.4305,0.1484,b0358
,,,,,,b4579
120,19,3.9201,128.87,-0.3700,0.0500,b0360
300,20,4.1334,132.18,-0.5490,0.0767,b0361
397,20,4.1697,130.25,+0.2123,0.1184,b0363
184,20,4.1228,128.54,-0.1293,0.0543,b0364
319,18,3.9550,124.96,-0.0285,0.0752,b0365
254,20,3.9974,128.83,-0.0413,0.0748,b0366
274,19,3.8168,126.27,+0.8566,0.0803,b0367
282,19,4.1078,132.41,-0.5135,0.0993,b0368
323,20,4.0701,127.85,-0.1313,0.0681,b0369
,,,,,,b4580
287,20,4.1949,134.36,-0.5157,0.1185,b0372
98,19,3.7581,134.28,-1.0000,0.0612,b0373
206,20,4.1158,133.58,-0.2291,0.0922,b0375
384,20,4.1124,126.61,-0.2005,0.0807,b0376
405,20,4.0827,132.36,+0.5316,0.1704,b0377
363,20,4.1067,128.94,-0.3832,0.0826,b0378
101,20,4.0094,129.65,+0.5109,0.1386,b0379
69,18,3.9318,133.21,+0.3232,0.1594,b0380
363,20,4.0835,125.91,+0.0105,0.0606,b0381
85,19,3.8522,133.17,-0.4859,0.0353,b0382
470,20,4.0108,122.89,-0.3177,0.0489,b0383
105,18,3.8790,127.89,-0.5933,0.0381,b0384
370,20,4.1265,129.87,+0.0759,0.0865,b0385
268,20,4.0136,122.48,+0.3123,0.0485,b0386
151,19,3.9787,129.41,-0.2245,0.0596,b0387
173,20,4.0222,127.85,-0.0254,0.0520,b0388
62,17,3.8448,133.05,-1.3258,0.0806,b0389
224,20,3.9756,128.58,+0.1585,0.0312,b0390
93,20,3.9880,126.46,-0.0602,0.1183,b0391
,,,,,,b0392
302,20,4.0504,130.08,-0.2288,0.0530,b0393
301,20,4.0872,125.49,-0.2090,0.0664,b0394
393,20,3.9159,124.32,+0.9560,0.1221,b0396
1047,20,3.9041,131.26,-0.6371,0.0439,b0397
399,20,4.1022,129.70,-0.2491,0.0677,b0398
228,20,4.0878,133.30,-0.3820,0.0746,b0399
430,20,4.1042,133.08,-0.3098,0.0837,b0400
438,20,3.9019,123.17,+0.9920,0.1050,b0401
456,20,4.0358,127.81,+0.7408,0.1316,b0402
603,20,4.1876,132.26,-0.4566,0.1144,b0403
192,20,4.0689,136.83,-0.4224,0.1250,b0404
355,19,4.0690,128.67,-0.1349,0.0873,b0405
374,20,4.1720,131.50,-0.4182,0.0936,b0406
109,18,3.9637,125.70,+0.3817,0.0734,b0407
614,20,4.0002,126.29,+0.1127,0.0521,b0408
322,19,4.0409,127.43,+0.3963,0.0807,b0409
114,20,4.1677,133.93,-0.8544,0.1053,b0410
293,19,4.1012,132.14,-0.5198,0.1843,b0411
178,19,3.9707,127.07,-0.1404,0.0393,b0412
148,19,4.0097,133.42,-0.4101,0.0676,b0413
366,20,4.0965,127.82,-0.2344,0.0519,b0414
155,19,3.8204,121.29,+0.2839,0.0516,b0415
138,20,3.9414,130.62,-0.2348,0.0870,b0416
324,20,3.9977,125.80,+0.0694,0.0741,b0417
171,20,4.0594,130.70,+0.5561,0.1345,b0418
323,20,4.1111,130.31,-0.4115,0.0743,b0419
619,20,4.1176,127.01,-0.0838,0.0743,b0420
298,19,3.9617,125.43,-0.1279,0.0470,b0421
79,15,3.7049,129.44,-0.7684,0.0380,b0422
481,20,4.1069,131.99,-0.2264,0.0790,b0423
195,20,4.0034,123.80,+0.3154,0.0564,b0424
302,20,4.1319,129.67,-0.1262,0.0563,b0425
162,18,3.9343,130.33,-0.4685,0.0617,b0426
453,20,3.9992,125.43,+0.6887,0.0949,b0427
295,20,3.9807,126.82,+0.8393,0.1356,b0428
108,19,3.9027,128.02,+0.9981,0.1019,b0429
203,20,4.0303,128.72,+0.7153,0.1429,b0430
662,20,4.0970,130.13,+0.6563,0.1571,b0431
314,20,4.1491,128.72,-0.0150,0.1115,b0432
490,20,3.9254,126.37,+0.8227,0.1224,b0433
191,19,4.0238,126.92,-0.1000,0.0576,b0434
104,20,4.0617,131.90,-0.2106,0.0962,b0435
431,19,3.9384,129.48,-0.4329,0.0603,b0436
206,19,4.1275,129.85,-0.1636,0.0728,b0437
423,19,4.0323,127.25,-0.2435,0.0496,b0438
783,20,4.0643,129.49,-0.3152,0.0421,b0439
89,15,3.6459,120.00,-0.0640,0.0337,b0440
622,19,4.0002,127.34,-0.4092,0.0611,b0441
122,19,3.8146,120.92,+0.0033,0.0246,b0442
131,20,4.0655,132.05,-0.1191,0.0763,b0443
230,20,4.1208,128.30,-0.1035,0.0870,b0444
565,20,4.1065,132.78,-0.3023,0.0956,b0445
271,20,4.1043,129.53,-0.0166,0.0775,b0446
151,20,4.0991,132.51,-0.0139,0.0927,b0447
589,20,4.0938,129.84,+0.0818,0.0798,b0448
592,20,3.9872,127.94,+0.2490,0.0726,b0449
111,17,3.8263,127.11,+0.0505,0.0631,b0450
427,20,3.9242,121.91,+0.9347,0.1007,b0451
285,20,4.1125,129.65,-0.2611,0.0947,b0452
189,20,3.7475,120.04,+0.1672,0.0317,b0453
128,20,4.0815,129.74,-0.4180,0.0781,b0454
116,19,3.9185,131.54,-0.4129,0.1207,b0456
515,20,4.1426,131.74,-0.1396,0.0835,b0457
155,20,4.0811,134.90,+0.0916,0.1484,b0458
182,20,4.1109,127.61,-0.0670,0.0714,b0459
71,19,3.9872,137.43,-0.6042,0.0986,b0460
123,20,4.1070,135.15,-0.5602,0.1138,b0461
1048,20,4.0729,126.24,+0.2642,0.0859,b0462
396,20,3.9428,124.19,-0.2614,0.0429,b0463
214,20,4.1035,133.05,-0.1953,0.0794,b0464
1119,20,4.0658,131.57,-0.0330,0.0751,b0465
52,14,3.5562,131.01,-0.4346,0.0192,b0466
174,20,3.7398,134.26,-0.5655,0.0517,b0467
124,19,3.9333,135.92,+0.8500,0.1532,b0468
182,17,3.9073,126.31,+0.0126,0.0769,b0469
642,20,4.0110,128.59,-0.2611,0.0405,b0470
108,18,3.9537,127.88,-0.4954,0.0370,b0471
200,19,4.0703,127.08,-0.1945,0.0450,b0472
623,19,4.0736,132.42,-0.5274,0.0867,b0473
213,19,4.0005,128.05,-0.3934,0.0563,b0474
319,20,4.1229,130.04,-0.1934,0.0846,b0475
318,20,4.1385,130.86,-0.1975,0.1164,b0476
433,20,4.1880,129.56,-0.3510,0.0901,b0477
557,20,3.8804,124.43,+0.8034,0.0628,b0478
405,20,3.9351,124.57,+0.8136,0.1136,b0479
549,20,4.1321,128.53,-0.4151,0.0856,b0480
158,18,3.9199,125.25,-0.0956,0.0506,b0481
263,20,4.0692,131.14,-0.2361,0.0684,b0482
112,19,3.9190,134.28,-0.4509,0.0714,b0483
833,20,3.9945,123.32,+0.2026,0.0420,b0484
309,20,4.0526,124.01,+0.0511,0.0712,b0485
429,20,3.8875,124.10,+1.0357,0.0909,b0486
134,19,4.0927,130.60,-0.5970,0.0448,b0487
151,19,3.9041,129.20,+0.3656,0.0927,b0488
304,19,3.9963,128.52,-0.0260,0.0493,b0489
224,20,4.1074,130.66,-0.2210,0.0759,b0490
258,20,3.9723,126.60,+0.7213,0.0736,b0491
283,20,3.9163,129.82,-0.2495,0.0636,b0492
268,20,4.1293,127.20,-0.0504,0.0634,b0493
207,19,4.0563,131.41,-0.2116,0.1063,b0494
227,18,3.8911,125.43,-0.1564,0.0264,b0495
803,20,3.9894,129.08,+0.2531,0.0859,b0496
1425,20,4.0806,130.00,-0.7187,0.0933,b0497
121,20,4.0549,133.74,-0.0099,0.1405,b0498
,,,,,,b0499
,,,,,,b0501
,,,,,,b4632
,,,,,,b0502
363,20,4.0863,130.86,-0.3774,0.0744,b0503
307,20,4.0959,129.94,-0.0430,0.0912,b0504
159,20,4.1155,131.35,-0.1604,0.0881,b0505
270,20,4.0294,125.87,+0.0667,0.0519,b0506
592,20,4.1266,127.11,+0.0595,0.0709,b0507
257,20,4.1765,131.74,-0.3514,0.1089,b0508
291,19,3.9969,123.35,+0.1715,0.0412,b0509
483,20,4.0197,126.31,+0.7710,0.1346,b0511
452,20,4.1509,127.42,-0.1852,0.0686,b0512
432,20,3.9147,127.02,+0.8824,0.1273,b0513
380,19,3.9296,119.55,+0.3313,0.0395,b0514
260,20,4.1049,127.94,-0.1004,0.1269,b0515
410,20,4.1921,129.10,-0.2351,0.0829,b0516
348,20,4.1397,126.69,-0.1414,0.0833,b0517
554,20,4.0289,123.51,+0.1265,0.0433,b0518
,,,,,,b4572
270,20,3.9995,127.08,-0.0344,0.0963,b0520
296,20,3.9884,124.42,-0.0422,0.0541,b0521
354,20,4.1147,129.06,-0.1452,0.0791,b0522
168,19,3.9829,122.96,+0.0756,0.0476,b0523
239,20,4.1120,129.92,-0.0038,0.0879,b0524
163,20,4.1055,128.47,-0.3252,0.0982,b0525
460,20,4.1685,131.17,-0.4200,0.0913,b0526
172,20,3.9744,130.70,+0.7041,0.1512,b0527
