acgt,ryr,gcc,Hgc,gcs,ats,locus_tag
657,1.0278,0.5099,0.9997,+0.0328,+0.0621,b0126
921,1.2033,0.4973,1.0000,-0.0917,+0.0929,b0127
765,0.7874,0.5098,0.9997,-0.0769,-0.3227,b0128
435,1.0519,0.4966,1.0000,-0.0833,-0.0320,b0129
1224,1.0606,0.4967,1.0000,-0.0461,+0.0130,b0130
375,0.9947,0.5280,0.9977,+0.0303,+0.0282,b0131
897,1.1667,0.4905,0.9997,-0.1136,+0.0416,b0132
846,1.0584,0.5284,0.9977,-0.0425,+0.0125,b0133
789,1.0440,0.5488,0.9931,-0.0162,+0.0281,b0134
1233,0.9791,0.4039,0.9732,+0.0884,+0.0422,b0135
591,1.0102,0.4162,0.9797,-0.0894,-0.0551,b0136
600,1.1127,0.4283,0.9851,-0.0039,+0.0904,b0137
564,1.1946,0.4309,0.9862,-0.0288,+0.1340,b0138
2592,1.0393,0.4336,0.9873,-0.0302,+0.0109,b0139
735,1.0704,0.4463,0.9917,-0.0244,+0.0418,b0140
579,0.9966,0.4508,0.9930,+0.0192,+0.0126,b0141
474,1.0085,0.5042,0.9999,+0.0209,+0.0298,b0142
1392,1.0411,0.5603,0.9895,+0.0026,+0.0490,b0143
921,0.9268,0.5375,0.9959,+0.0465,-0.0282,b0144
450,1.3438,0.5311,0.9972,-0.0711,+0.2322,b0145
699,1.0928,0.4950,0.9999,-0.0173,+0.0708,b0146
525,0.8617,0.5638,0.9882,+0.0608,-0.0917,b0147
2424,1.1338,0.5664,0.9872,-0.0896,+0.0276,b0148
2529,1.1450,0.5524,0.9921,-0.0895,+0.0406,b0149
2238,1.0272,0.5134,0.9995,-0.0200,+0.0064,b0150
792,0.9701,0.5707,0.9855,-0.0796,-0.1412,b0151
885,0.9799,0.5480,0.9933,-0.0392,-0.0700,b0152
1977,0.9516,0.5984,0.9719,-0.1547,-0.2922,b0153
1275,1.0270,0.5561,0.9909,-0.0860,-0.0777,b0154
1416,0.9558,0.5395,0.9955,-0.1230,-0.1933,b0155
339,1.0798,0.5133,0.9995,-0.0805,-0.0061,b0156
618,0.9619,0.5388,0.9956,-0.1231,-0.1860,b0157
795,1.0178,0.5308,0.9973,+0.0284,+0.0509,b0158
693,1.0087,0.5267,0.9979,-0.0301,-0.0244,b0159
1512,1.0516,0.4808,0.9989,-0.0536,-0.0013,b0160
1419,1.1467,0.5412,0.9951,-0.0547,+0.0845,b0161
1152,1.1943,0.5295,0.9975,-0.1672,+0.0000,b0162
381,1.2544,0.4488,0.9924,-0.0526,+0.1619,b0163
807,0.9123,0.5155,0.9993,+0.0144,-0.0793,b0164
819,1.1000,0.5336,0.9967,-0.0664,+0.0262,b0166
2667,0.9712,0.5399,0.9954,+0.0375,+0.0122,b0167
789,1.1324,0.5070,0.9999,-0.0200,+0.1054,b0168
720,1.0690,0.5167,0.9992,-0.0108,+0.0575,b0169
846,1.3242,0.5012,1.0000,-0.1226,+0.1564,b0170
720,1.1622,0.5306,0.9973,-0.1152,+0.0296,b0171
552,1.3096,0.5091,0.9998,-0.0747,+0.1956,b0172
1191,1.0749,0.5273,0.9979,-0.0541,+0.0160,b0173
756,1.1724,0.5000,1.0000,-0.1217,+0.0370,b0174
852,0.8725,0.5106,0.9997,-0.1218,-0.2662,b0175
1347,1.0378,0.5100,0.9997,-0.1325,-0.1000,b0176
2427,1.0603,0.5076,0.9998,-0.0487,+0.0092,b0177
480,1.2642,0.5042,0.9999,-0.0579,+0.1765,b0178
1020,1.1294,0.5304,0.9973,-0.0721,+0.0480,b0179
450,1.0362,0.5067,0.9999,-0.0877,-0.0541,b0180
783,1.0497,0.5326,0.9969,-0.0504,-0.0055,b0181
1143,1.0858,0.5389,0.9956,-0.0812,-0.0057,b0182
591,1.1032,0.5753,0.9836,-0.0706,+0.0199,b0183
3477,1.1201,0.5502,0.9927,-0.0748,+0.0345,b0184
954,1.1013,0.5252,0.9982,-0.0778,+0.0155,b0185
2136,1.0618,0.5098,0.9997,-0.0487,+0.0105,b0186
384,1.0000,0.5104,0.9997,-0.0510,-0.0532,b0187
1293,1.1024,0.5824,0.9803,-0.1049,-0.0296,b0188
249,1.1842,0.4819,0.9991,-0.0500,+0.1163,b0189
195,1.3780,0.5077,0.9998,-0.1919,+0.1250,b4406
540,1.1260,0.5259,0.9981,-0.1056,+0.0078,b0190
417,1.2181,0.5468,0.9937,-0.0439,+0.1640,b0191
705,1.1759,0.5262,0.9980,-0.0997,+0.0599,b0192
819,0.9454,0.4945,0.9999,+0.0272,-0.0290,b0193
1713,1.1122,0.5458,0.9939,-0.0524,+0.0540,b0194
702,0.9775,0.5556,0.9911,-0.0051,-0.0321,b0195
399,0.9752,0.5363,0.9962,+0.1028,+0.0919,b0196
810,1.1892,0.4938,0.9999,-0.0450,+0.1268,b0197
648,0.8567,0.5262,0.9980,-0.1085,-0.2834,b0198
1026,1.0520,0.5302,0.9974,-0.0221,+0.0290,b0199
570,1.2008,0.5018,1.0000,-0.1329,+0.0493,b0200
798,1.1000,0.4649,0.9964,-0.0243,+0.0679,b0207
909,1.1338,0.4983,1.0000,-0.0728,+0.0526,b0208
795,0.9581,0.5283,0.9977,-0.0095,-0.0560,b0209
618,1.1164,0.4935,0.9999,-0.0754,+0.0351,b0210
1353,1.2253,0.5203,0.9988,-0.0682,+0.1371,b0211
750,1.1246,0.4027,0.9725,-0.0861,+0.0402,b0212
717,0.9378,0.4965,1.0000,+0.0000,-0.0637,b0213
462,1.2427,0.5087,0.9998,-0.0553,+0.1630,b0214
726,1.1353,0.5041,1.0000,-0.0929,+0.0333,b0215
780,1.1972,0.4295,0.9856,-0.0269,+0.1371,b0217
474,0.8588,0.3080,0.8909,+0.0822,-0.0732,b4586
,,,,,,b0218
,,,,,,b4503
765,1.0788,0.5477,0.9934,-0.1456,-0.0925,b0219
468,1.2718,0.5043,0.9999,-0.1356,+0.1034,b0220
2439,1.0530,0.5699,0.9859,-0.0561,-0.0143,b0221
573,1.0761,0.5131,0.9995,-0.0544,+0.0179,b0222
762,1.0595,0.5381,0.9958,-0.0195,+0.0398,b0223
735,1.0417,0.4871,0.9995,+0.0000,+0.0398,b0224
273,1.1000,0.3993,0.9705,-0.0092,+0.0732,b0225
255,1.1429,0.4745,0.9981,-0.0413,+0.0896,b0226
744,1.0163,0.5255,0.9981,-0.0026,+0.0142,b0227
492,1.0586,0.4512,0.9931,-0.0811,-0.0148,b0228
,,,,,,b0229
,,,,,,b0230
1050,1.0669,0.5429,0.9947,-0.0316,+0.0333,b0231
288,1.1333,0.4271,0.9846,+0.0081,+0.1152,b0232
393,1.0363,0.4377,0.9888,-0.0233,+0.0136,b0233
447,1.0045,0.4362,0.9882,+0.0051,+0.0079,b0234
,,,,,,b0235
,,,,,,b0236
1452,1.0862,0.5145,0.9994,-0.0361,+0.0468,b0237
453,1.0314,0.5232,0.9984,-0.0633,-0.0370,b0238
1239,0.9824,0.5383,0.9958,-0.0165,-0.0385,b0239
396,1.2759,0.5076,0.9998,-0.1841,+0.0564,b0240
1050,1.2152,0.4486,0.9924,-0.1125,+0.0846,b0241
1098,1.0600,0.5647,0.9879,-0.0484,+0.0042,b0242
1248,1.1517,0.5449,0.9942,-0.0735,+0.0669,b0243
,,,,,,b4626
336,1.1132,0.5149,0.9994,-0.0289,+0.0798,b0245
312,0.9259,0.5769,0.9829,+0.1444,+0.1061,b0246
216,1.0000,0.5648,0.9878,+0.1148,+0.1489,b4504
471,0.9224,0.5881,0.9775,+0.0614,-0.0103,b0247
453,0.9114,0.5585,0.9901,+0.0988,+0.0200,b0248
234,1.0000,0.5940,0.9743,+0.0647,+0.0947,b0249
462,1.0263,0.5281,0.9977,+0.0164,+0.0459,b0250
438,1.0758,0.5114,0.9996,+0.0446,+0.1215,b0251
,,,,,,b4627
,,,,,,b4628
816,1.0816,0.5797,0.9816,-0.0571,+0.0146,b0252
858,1.0000,0.5699,0.9858,-0.0634,-0.0840,b0253
888,0.9910,0.4809,0.9989,-0.0023,-0.0108,b0254
,,,,,,b4587
1146,1.2604,0.4590,0.9951,-0.0228,+0.1935,b0256
,,,,,,b0258
1011,1.1239,0.5490,0.9931,+0.0234,+0.1579,b0259
1398,0.9072,0.5501,0.9928,-0.1105,-0.2432,b0260
927,1.1020,0.6052,0.9678,-0.1159,-0.0546,b0261
1041,1.0492,0.5658,0.9875,-0.0357,+0.0088,b0262
,,,,,,b0263
498,1.1652,0.5562,0.9909,-0.0758,+0.0769,b0264
270,0.8621,0.5370,0.9960,+0.1172,-0.0240,b0265
,,,,,,b4505
,,,,,,b0266
1149,1.1083,0.6232,0.9558,-0.0503,+0.0531,b0267
903,0.9295,0.6179,0.9595,+0.0609,+0.0029,b0268
1962,1.1006,0.6687,0.9162,-0.0427,+0.0585,b0269
1377,0.8409,0.6267,0.9532,+0.0382,-0.1673,b0270
1605,0.9790,0.6455,0.9380,+0.0521,+0.0650,b0271
753,1.0296,0.6348,0.9469,+0.0126,+0.0618,b0272
999,1.2860,0.5896,0.9767,-0.1307,+0.1171,b0273
,,,,,,b4688
498,1.1652,0.5562,0.9909,-0.0758,+0.0769,b0274
270,0.8621,0.5370,0.9960,+0.1172,-0.0240,b0275
,,,,,,b0276
621,1.0769,0.4509,0.9930,-0.0143,+0.0557,b0277
693,1.1258,0.3752,0.9546,-0.0615,+0.0577,b0278
849,1.1825,0.3640,0.9459,-0.0097,+0.1259,b0279
435,0.9163,0.4368,0.9884,+0.2000,+0.0776,b0280
1395,1.1396,0.4437,0.9908,-0.0016,+0.1160,b0281
,,,,,,b4694
,,,,,,b4695
951,1.0063,0.6015,0.9701,-0.0245,-0.0290,b0283
2193,1.0806,0.5955,0.9735,-0.0107,+0.0800,b0284
951,1.0021,0.6088,0.9655,+0.0190,+0.0323,b0285
684,1.0854,0.5497,0.9929,-0.0053,+0.0844,b0286
609,0.8399,0.4548,0.9941,-0.0542,-0.2048,b0287
324,0.9877,0.5093,0.9998,+0.0424,+0.0314,b0288
705,1.0614,0.5333,0.9968,-0.0426,+0.0152,b0289
1638,1.0399,0.5171,0.9992,+0.0201,+0.0619,b0290
2520,1.1176,0.5536,0.9917,-0.0280,+0.0898,b0291
663,0.9500,0.5505,0.9926,+0.0849,+0.0470,b0292
582,1.0935,0.5326,0.9969,+0.0194,+0.1176,b0293
585,1.3307,0.3915,0.9657,-0.1965,+0.1067,b0294
222,1.5517,0.4459,0.9916,-0.1919,+0.2358,b0295
135,1.2131,0.4222,0.9825,-0.0526,+0.1282,b4506
258,1.1148,0.4612,0.9957,-0.0588,+0.0504,b0296
96,0.9200,0.2917,0.8709,+0.0714,-0.0294,b4671
,,,,,,b4630
,,,,,,b0297
294,1.1778,0.5034,1.0000,+0.0946,+0.2603,b0298
861,1.1418,0.5528,0.9919,-0.0840,+0.0442,b0299
,,,,,,b0300
,,,,,,b4631
588,1.0137,0.4507,0.9930,-0.0642,-0.0402,b0301
231,1.0263,0.3593,0.9421,+0.0843,+0.0676,b0303
1320,1.1154,0.4568,0.9946,-0.0945,+0.0209,b0304
849,0.9930,0.5135,0.9995,-0.0596,-0.0702,b0305
714,1.1835,0.5056,0.9999,-0.1357,+0.0312,b0306
1422,1.1677,0.5035,1.0000,-0.1229,+0.0312,b0307
690,1.1562,0.5232,0.9984,-0.1413,-0.0030,b0308
663,1.1456,0.3710,0.9515,-0.0650,+0.0695,b0310
1665,1.0787,0.5718,0.9851,-0.0252,+0.0547,b0311
1467,1.0868,0.5842,0.9795,-0.0268,+0.0623,b0312
582,1.1164,0.5722,0.9849,-0.0330,+0.0843,b0313
2028,0.9407,0.5537,0.9916,-0.0668,-0.1514,b0314
1083,1.0668,0.4598,0.9953,-0.0723,-0.0017,b0315
927,1.0022,0.4951,0.9999,-0.0109,-0.0085,b0316
492,0.9839,0.5325,0.9969,-0.2061,-0.2522,b0317
600,1.1201,0.4567,0.9946,-0.0949,+0.0245,b0318
858,1.0675,0.4720,0.9977,-0.0519,+0.0155,b0319
1542,1.1476,0.5564,0.9908,-0.0536,+0.0877,b0320
1413,1.1216,0.5846,0.9793,-0.0775,+0.0290,b0321
945,1.1477,0.5640,0.9881,-0.0544,+0.0874,b0323
1377,1.1120,0.5635,0.9883,-0.0052,+0.1148,b0324
1044,1.1220,0.5345,0.9966,-0.1039,+0.0041,b0325
810,1.0455,0.3889,0.9641,-0.0540,+0.0020,b0326
240,1.2222,0.4708,0.9975,-0.0619,+0.1339,b0327
666,0.8398,0.4955,0.9999,-0.0667,-0.2381,b0328
270,1.5234,0.3926,0.9665,-0.1887,+0.2195,b0329
1581,1.0640,0.5528,0.9919,-0.0366,+0.0240,b0330
885,1.0205,0.5638,0.9882,-0.0341,-0.0207,b0331
1164,1.0493,0.5584,0.9901,+0.0185,+0.0778,b0333
1446,0.9835,0.5712,0.9853,+0.0581,+0.0581,b0334
1881,1.0970,0.5848,0.9792,-0.1127,-0.0474,b0335
1254,0.8633,0.5399,0.9954,-0.0842,-0.2582,b0336
1278,1.0951,0.5344,0.9966,-0.0278,+0.0655,b0337
894,1.0000,0.5515,0.9923,-0.0304,-0.0374,b0338
654,0.8739,0.5749,0.9837,+0.0319,-0.1151,b0339
465,0.9787,0.5075,0.9998,+0.0000,-0.0218,b0340
1149,0.8960,0.5883,0.9774,-0.1006,-0.2770,b0341
606,1.1413,0.4307,0.9861,-0.0421,+0.0841,b0342
1248,0.7455,0.4647,0.9964,-0.0207,-0.2904,b0343
3069,1.0365,0.5634,0.9884,-0.0260,+0.0075,b0344
1077,1.0321,0.5636,0.9883,-0.0148,+0.0170,b0345
828,1.1847,0.5592,0.9899,-0.0886,+0.0795,b0346
1659,1.0660,0.5708,0.9855,-0.0686,-0.0169,b0347
939,0.9810,0.5793,0.9818,-0.0662,-0.1139,b0348
876,1.0563,0.5479,0.9934,-0.0750,-0.0303,b0349
804,1.1326,0.5535,0.9917,-0.1056,+0.0084,b0350
945,1.1188,0.5460,0.9939,-0.0698,+0.0396,b0351
1008,1.1585,0.5675,0.9868,-0.1189,+0.0138,b0352
1206,0.9610,0.5755,0.9835,-0.1671,-0.2734,b0353
534,1.3946,0.4850,0.9994,-0.1274,+0.2000,b0354
828,1.0394,0.4867,0.9995,-0.0471,-0.0071,b0355
1104,1.0559,0.5380,0.9958,-0.0572,-0.0078,b0356
270,1.1600,0.5370,0.9960,-0.0897,+0.0560,b0357
768,0.9794,0.5026,1.0000,+0.0104,-0.0105,b0358
,,,,,,b4579
360,1.2642,0.5361,0.9962,-0.0777,+0.1617,b0360
900,1.2113,0.5511,0.9924,-0.1290,+0.0545,b0361
1191,0.9210,0.5013,1.0000,-0.0519,-0.1347,b0363
552,0.9437,0.4330,0.9870,+0.0962,+0.0224,b0364
957,1.1849,0.5653,0.9877,-0.0462,+0.1346,b0365
762,1.1167,0.5617,0.9890,-0.0981,+0.0000,b0366
822,0.9618,0.5742,0.9841,-0.1271,-0.2171,b0367
846,1.0634,0.5473,0.9935,-0.0410,+0.0183,b0368
969,1.0794,0.5418,0.9950,-0.0705,+0.0000,b0369
,,,,,,b4580
861,1.1418,0.5528,0.9919,-0.0840,+0.0442,b0372
294,1.1778,0.5034,1.0000,+0.0946,+0.2603,b0373
618,1.0669,0.3964,0.9688,-0.0449,+0.0241,b0375
1152,0.9931,0.5547,0.9914,-0.0391,-0.0565,b0376
1215,0.8664,0.5152,0.9993,-0.0447,-0.1952,b0377
1089,1.1824,0.5354,0.9964,-0.0943,+0.0711,b0378
303,0.8589,0.5314,0.9972,-0.0807,-0.2535,b0379
207,1.0495,0.4976,1.0000,-0.1845,-0.1346,b0380
1089,1.1105,0.5124,0.9996,-0.0645,+0.0395,b0381
255,1.3394,0.4706,0.9975,-0.1667,+0.1259,b0382
1410,1.1626,0.5348,0.9965,-0.0212,+0.1372,b0383
315,1.1875,0.4794,0.9988,+0.0066,+0.1707,b0384
1110,1.0480,0.5378,0.9959,-0.0921,-0.0565,b0385
804,1.0992,0.5473,0.9935,-0.0273,+0.0714,b0386
453,1.1168,0.5695,0.9860,-0.1085,-0.0154,b0387
519,1.1535,0.5241,0.9983,-0.0662,+0.0769,b0388
186,1.4156,0.4892,0.9997,+0.0330,+0.3684,b0389
672,1.0677,0.4673,0.9969,-0.1083,-0.0335,b0390
279,0.9929,0.5269,0.9979,-0.0612,-0.0758,b0391
,,,,,,b0392
906,1.2537,0.5177,0.9991,-0.1130,+0.1121,b0393
903,1.2919,0.5581,0.9902,-0.2103,+0.0226,b0394
1179,0.9016,0.5081,0.9998,-0.1052,-0.2138,b0396
3141,1.2277,0.5387,0.9957,-0.0024,+0.2188,b0397
1197,1.0017,0.5338,0.9967,+0.0391,+0.0466,b0398
684,1.1646,0.5482,0.9933,-0.1040,+0.0421,b0399
1290,1.1148,0.5310,0.9972,-0.0920,+0.0116,b0400
1314,0.7926,0.5578,0.9903,-0.0259,-0.2943,b0401
1368,0.9322,0.5307,0.9973,-0.0964,-0.1838,b0402
1809,1.0962,0.5473,0.9935,-0.0929,-0.0110,b0403
576,0.8701,0.5347,0.9965,+0.0130,-0.1343,b0404
1065,1.0170,0.5437,0.9945,-0.0155,+0.0000,b0405
1122,1.0289,0.5152,0.9993,-0.0519,-0.0257,b0406
327,1.0828,0.5015,1.0000,-0.0854,-0.0061,b0407
1842,1.0650,0.5320,0.9970,-0.0449,+0.0162,b0408
966,0.9918,0.5176,0.9991,-0.1000,-0.1159,b0409
342,1.2065,0.4737,0.9980,-0.0370,+0.1444,b0410
879,1.0023,0.5063,0.9999,+0.0112,+0.0138,b0411
534,1.1024,0.4794,0.9988,+0.0078,+0.1007,b0412
444,1.1553,0.5180,0.9991,-0.1304,+0.0093,b0413
1098,1.0954,0.5537,0.9917,-0.0493,+0.0408,b0414
465,1.1233,0.5247,0.9982,-0.0738,+0.0407,b0415
414,1.1122,0.5386,0.9957,-0.0045,+0.1099,b0416
972,0.9363,0.5463,0.9938,-0.0433,-0.1247,b0417
513,0.9506,0.5341,0.9966,-0.1460,-0.2218,b0418
969,1.1824,0.5325,0.9969,-0.0736,+0.0949,b0419
1857,1.0610,0.5439,0.9944,-0.0218,+0.0390,b0420
894,1.0181,0.5447,0.9942,-0.0103,+0.0074,b0421
237,1.3235,0.5612,0.9892,-0.0376,+0.2692,b0422
1443,1.0614,0.5232,0.9984,-0.0517,+0.0058,b0423
585,1.0599,0.5675,0.9868,-0.0783,-0.0356,b0424
906,1.0591,0.5199,0.9989,-0.0106,+0.0483,b0425
486,1.2192,0.5041,1.0000,-0.1102,+0.0871,b0426
1359,0.9927,0.5276,0.9978,-0.1018,-0.1215,b0427
885,0.9032,0.5401,0.9954,-0.1046,-0.2334,b0428
324,0.9401,0.5031,1.0000,-0.0061,-0.0683,b0429
609,0.8455,0.5386,0.9957,-0.0122,-0.1957,b0430
1986,0.8683,0.5302,0.9974,-0.0180,-0.1704,b0431
942,1.0215,0.5117,0.9996,+0.0207,+0.0435,b0432
1470,0.8238,0.5381,0.9958,-0.0367,-0.2518,b0433
573,1.0105,0.5166,0.9992,+0.1081,+0.1264,b0434
312,1.0260,0.4904,0.9997,-0.0719,-0.0440,b0435
1293,1.3297,0.5135,0.9995,-0.1024,+0.1828,b0436
618,1.0000,0.5129,0.9995,-0.0158,-0.0166,b0437
1269,1.1767,0.5169,0.9992,-0.0854,+0.0767,b0438
2349,1.2077,0.5236,0.9984,-0.0992,+0.0885,b0439
267,1.1360,0.4944,0.9999,-0.0909,+0.0370,b0440
1866,1.2896,0.5247,0.9982,-0.0684,+0.1905,b0441
366,1.3766,0.5546,0.9914,-0.1232,+0.2025,b0442
393,1.1713,0.4656,0.9966,-0.0820,+0.0762,b0443
690,1.1630,0.5203,0.9988,-0.1309,+0.0151,b0444
